id,device_id,ts,activity,pp1,pp2,pp3,,participant,recipient,sender,Temperature
292,3618,2024-08-29T06:02:33,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.5
293,3606,2024-08-29T06:58:01,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.25
294,3618,2024-08-29T07:01:35,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.1875
295,3618,2024-08-29T08:00:40,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.8125
296,3618,2024-08-29T08:59:58,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.9375
297,3606,2024-08-29T09:01:01,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.8125
298,3606,2024-08-29T09:57:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.8125
299,3618,2024-08-29T09:59:46,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",37.5625
300,3606,2024-08-29T10:56:41,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.4375
301,3618,2024-08-29T10:59:22,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",42.5
302,3606,2024-08-29T11:57:31,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",24.75
303,3618,2024-08-29T11:58:24,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",34.875
304,3618,2024-08-29T12:57:20,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",33.5
305,3618,2024-08-29T13:56:25,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",32.0625
306,3606,2024-08-29T13:59:29,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",27.0
307,3618,2024-08-29T14:55:26,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.5625
308,3606,2024-08-29T14:56:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",27.1875
309,3618,2024-08-29T15:54:28,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.0
310,3606,2024-08-29T15:56:00,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",26.5
311,3618,2024-08-29T16:53:31,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",28.6875
312,3606,2024-08-29T16:55:36,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.625
313,3618,2024-08-29T17:52:31,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",27.3125
314,3606,2024-08-29T18:07:46,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.5
315,3618,2024-08-29T18:51:34,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",25.875
316,3606,2024-08-29T19:03:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",24.0625
317,3618,2024-08-29T19:50:36,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",24.125
318,3606,2024-08-29T20:06:37,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.3125
319,3618,2024-08-29T20:49:38,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.375
320,3606,2024-08-29T21:04:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.5625
321,3618,2024-08-29T21:48:38,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",21.125
322,3618,2024-08-29T22:47:35,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.375
323,3606,2024-08-29T23:28:41,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.0625
324,3618,2024-08-29T23:46:32,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.1875
325,3606,2024-08-30T00:22:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.6875
326,3618,2024-08-30T00:45:38,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",19.875
327,3606,2024-08-30T01:28:54,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.4375
328,3618,2024-08-30T01:44:42,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",18.8125
329,3606,2024-08-30T02:23:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.25
330,3618,2024-08-30T02:43:50,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",18.0
331,3606,2024-08-30T03:26:53,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.125
332,3618,2024-08-30T03:42:57,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.8125
333,3618,2024-08-30T04:41:58,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.5
334,3606,2024-08-30T05:24:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.9375
335,3618,2024-08-30T05:41:00,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.6875
336,3618,2024-08-30T06:40:03,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.5625
337,3606,2024-08-30T06:44:17,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.9375
338,3606,2024-08-30T07:38:41,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.0625
339,3618,2024-08-30T07:39:05,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.75
340,3606,2024-08-30T08:37:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.5625
341,3618,2024-08-30T08:38:14,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.875
342,3618,2024-08-30T09:37:20,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",18.6875
343,3606,2024-08-30T09:37:56,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.0
344,3606,2024-08-30T10:32:45,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.0
345,3618,2024-08-30T10:36:31,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",19.9375
346,3606,2024-08-30T11:34:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.4375
347,3618,2024-08-30T11:35:37,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.8125
348,3606,2024-08-30T12:31:45,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.6875
349,3618,2024-08-30T12:34:40,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.9375
350,3606,2024-08-30T13:32:29,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.8125
351,3618,2024-08-30T13:33:49,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",21.375
352,3606,2024-08-30T14:29:59,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.3125
353,3618,2024-08-30T14:32:56,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.375
354,3618,2024-08-30T15:32:02,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.5625
355,3618,2024-08-30T16:31:11,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.5
356,3606,2024-08-30T16:31:18,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.125
357,3618,2024-08-30T17:30:16,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.0
358,3618,2024-08-30T18:29:19,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",21.875
359,3618,2024-08-30T19:28:15,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",20.6875
360,3606,2024-08-30T19:32:15,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.8125
361,3618,2024-08-30T20:27:23,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",19.8125
362,3606,2024-08-30T20:30:09,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.0
363,3618,2024-08-30T21:26:26,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",19.5
364,3618,2024-08-30T22:25:31,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",19.0625
365,3618,2024-08-30T23:24:33,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",18.75
366,3606,2024-08-30T23:50:21,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.6875
367,3618,2024-08-31T00:23:38,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",18.3125
368,3606,2024-08-31T00:49:27,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.25
369,3618,2024-08-31T01:22:39,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",17.0
370,3606,2024-08-31T01:47:44,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.875
371,3618,2024-08-31T02:21:37,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",16.1875
372,3606,2024-08-31T02:49:23,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.8125
373,3618,2024-08-31T03:20:37,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",15.8125
374,3606,2024-08-31T03:48:46,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.4375
375,3618,2024-08-31T04:19:44,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",15.625
376,3618,2024-08-31T05:18:41,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",15.6875
377,3618,2024-08-31T06:17:43,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",15.625
